word1,word2,sent1,sent2,human_sim
serf,slave,"In former times, serfs were a class of people who had to work on a particular person’s land and could not leave without that person’s permission.",A slave is someone who is the property of another person and has to work for that person.,0.4825
journey,voyage,"When you make a journey, you travel from one place to another.",A voyage is a long journey on a ship or in a spacecraft.,0.36
autograph,signature,An autograph is the signature of someone famous which is specially written for a fan to keep.,"Your signature is your name, written in your own characteristic way, often at the end of a document to indicate that you wrote the document or that you agree with what it says.",0.405
coast,shore,The coast is an area of land that is next to the sea.,"The shores or shore of a sea, lake, or wide river is the land along the edge of it.",0.5875
forest,woodland,A forest is a large area where trees grow close together.,Woodland is land with a lot of trees.,0.6275
implement,tool,An implement is a tool or other pieces of equipment.,A tool is any instrument or simple piece of equipment that you hold in your hands and use to do a particular kind of work.,0.59
cock,rooster,A cock is an adult male chicken.,A rooster is an adult male chicken.,0.8625
boy,lad,A boy is a child who will grow up to be a man.,A lad is a young man or boy,0.58
cushion,pillow,"A cushion is a fabric case filled with soft material, which you put on a seat to make it more comfortable.",A pillow is a rectangular cushion which you rest your head on when you are in bed.,0.5225
cemetery,graveyard,A cemetery is a place where dead people’s bodies or their ashes are buried.,"A graveyard is an area of land, sometimes near a church, where dead people are buried.",0.7725
automobile,car,An automobile is a car.,A car is a motor vehicle with room for a small number of passengers.,0.5575
midday,noon,Midday is 12 o’clock in the middle of the day.,Noon is 12 o’clock in the middle of the day.,0.955
gem,jewel,A gem is a jewel or stone that is used in jewellery,"A jewel is a precious stone used to decorate valuable things that you wear, such as rings or necklaces.",0.6525
